epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.417,1.10536,1.99026,1.35587,0.64569,0.65068,0.67048,0.39093,1.30294,1.86939,1.77399,0.000661578,0.000661578,0.000661578
2,1587.78,1.3429,1.71905,1.54325,0.62548,0.54907,0.58016,0.33688,1.45017,2.04129,1.89977,0.00119675,0.00119675,0.00119675
3,2377.31,1.37673,1.54632,1.59478,0.68943,0.63014,0.63526,0.32938,1.57241,2.5434,2.12595,0.00159992,0.00159992,0.00159992
4,3260.82,1.34992,1.39676,1.55763,0.85458,0.64384,0.73674,0.46738,1.36065,1.2852,1.78589,0.001406,0.001406,0.001406
5,4092.74,1.24189,1.24075,1.47354,0.78991,0.61644,0.73706,0.49839,1.20527,1.31474,1.647,0.001208,0.001208,0.001208
6,4904.95,1.18956,1.15501,1.418,0.77331,0.71233,0.76765,0.51821,1.16222,1.2135,1.58301,0.00101,0.00101,0.00101
7,5725.27,1.09849,1.04659,1.3621,0.83235,0.69863,0.78439,0.55939,1.10957,1.1223,1.54182,0.000812,0.000812,0.000812
8,6568.2,1.0481,0.95106,1.3158,0.8499,0.71233,0.81034,0.58375,1.01556,1.02968,1.45398,0.000614,0.000614,0.000614
9,7474.5,1.00059,0.89139,1.28086,0.83628,0.76974,0.83399,0.63559,0.94891,0.96515,1.36096,0.000416,0.000416,0.000416
10,8227.03,0.92416,0.81375,1.22164,0.83598,0.77397,0.84355,0.65167,0.8841,0.9096,1.3298,0.000218,0.000218,0.000218
