epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7421,1.04904,2.59546,1.29289,1,0.33168,0.71959,0.56379,0.59237,2.57316,1.11336,0.0675,0.000328283,0.000328283
2,77.0312,0.96115,1.98171,1.21953,0.90564,0.79452,0.84403,0.68576,0.66174,1.67038,1.1394,0.0344934,0.000655066,0.000655066
3,102.013,0.91009,1.43025,1.17261,0.89267,0.74658,0.84575,0.66627,0.67131,1.26352,1.16921,0.0014803,0.000975249,0.000975249
4,127.173,0.87039,1.19666,1.13508,0.85593,0.78082,0.85347,0.68663,0.68436,1.21041,1.13438,0.0009703,0.0009703,0.0009703
5,152.17,0.84123,1.11,1.11777,0.90037,0.82192,0.88528,0.71376,0.69241,1.11595,1.13791,0.0009604,0.0009604,0.0009604
6,177.212,0.82268,1.04843,1.1099,0.89088,0.80822,0.87661,0.70225,0.68599,1.12307,1.16086,0.0009505,0.0009505,0.0009505
7,202.278,0.78625,0.9879,1.09351,0.92692,0.78082,0.87251,0.70618,0.71037,1.01922,1.15747,0.0009406,0.0009406,0.0009406
8,227.206,0.75244,0.93214,1.07919,0.92027,0.79063,0.87247,0.70657,0.66978,1.01591,1.11272,0.0009307,0.0009307,0.0009307
9,252.071,0.73174,0.88773,1.06395,0.91384,0.79911,0.89082,0.72538,0.70143,0.98537,1.14759,0.0009208,0.0009208,0.0009208
10,277.062,0.74568,0.87064,1.06805,0.8491,0.84792,0.88296,0.72133,0.69229,0.95987,1.13889,0.0009109,0.0009109,0.0009109
11,301.962,0.72425,0.83505,1.05761,0.8717,0.80822,0.85451,0.70178,0.64247,0.95981,1.11604,0.000901,0.000901,0.000901
12,326.865,0.70161,0.82444,1.05793,0.88075,0.80937,0.88916,0.72365,0.67096,0.90164,1.13247,0.0008911,0.0008911,0.0008911
13,351.846,0.70286,0.80544,1.04705,0.91962,0.79452,0.87249,0.70407,0.70688,0.9516,1.15552,0.0008812,0.0008812,0.0008812
14,376.683,0.69436,0.78175,1.04879,0.89362,0.80551,0.87735,0.71146,0.66074,0.87125,1.11578,0.0008713,0.0008713,0.0008713
