epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8683,1.07468,2.52996,1.30008,0.94267,0.22528,0.73206,0.55412,0.63274,2.48094,1.14179,0.0675,0.000328283,0.000328283
2,49.9416,0.99956,1.69508,1.23989,0.8278,0.75731,0.82165,0.64698,0.74919,1.3402,1.22035,0.0344934,0.000655066,0.000655066
3,71.4021,0.92535,1.28886,1.1809,0.82395,0.73729,0.80036,0.64588,0.71787,1.18458,1.16448,0.0014803,0.000975249,0.000975249
4,92.9729,0.87888,1.13154,1.14699,0.81298,0.80393,0.8539,0.67365,0.74666,1.07461,1.20893,0.0009703,0.0009703,0.0009703
5,114.342,0.85633,1.04613,1.13523,0.8385,0.82877,0.86112,0.6788,0.76486,1.01846,1.22301,0.0009604,0.0009604,0.0009604
6,135.837,0.81688,0.98789,1.1116,0.8406,0.82877,0.85609,0.68094,0.71562,1.00787,1.19326,0.0009505,0.0009505,0.0009505
7,157.331,0.78876,0.93735,1.10048,0.83239,0.81636,0.85444,0.69145,0.713,0.97392,1.17863,0.0009406,0.0009406,0.0009406
8,178.753,0.76748,0.89332,1.08876,0.8774,0.78426,0.84287,0.68429,0.73824,0.968,1.1962,0.0009307,0.0009307,0.0009307
9,200.265,0.74912,0.86123,1.07238,0.88033,0.82192,0.86883,0.69322,0.7308,0.9543,1.20489,0.0009208,0.0009208,0.0009208
10,221.729,0.73714,0.84043,1.0705,0.87219,0.83562,0.86392,0.65576,0.74582,0.96998,1.21825,0.0009109,0.0009109,0.0009109
11,242.922,0.72963,0.82298,1.06301,0.83245,0.82192,0.85781,0.6582,0.76811,0.94952,1.2388,0.000901,0.000901,0.000901
12,264.304,0.71532,0.81036,1.06531,0.90585,0.76712,0.84072,0.65702,0.78336,0.97083,1.24559,0.0008911,0.0008911,0.0008911
13,285.755,0.70836,0.78619,1.05615,0.91589,0.78767,0.86586,0.67105,0.75768,0.96097,1.2392,0.0008812,0.0008812,0.0008812
14,307.022,0.69412,0.76462,1.05056,0.93657,0.78082,0.86915,0.68356,0.77166,0.86086,1.261,0.0008713,0.0008713,0.0008713
15,328.473,0.69577,0.76316,1.04112,0.89237,0.81507,0.87472,0.67753,0.75071,0.89606,1.22495,0.0008614,0.0008614,0.0008614
16,349.867,0.68386,0.73612,1.04306,0.88341,0.83041,0.87609,0.69968,0.76454,0.87715,1.25068,0.0008515,0.0008515,0.0008515
17,371.24,0.67093,0.71634,1.04118,0.84459,0.82877,0.85909,0.67623,0.76973,0.90335,1.2411,0.0008416,0.0008416,0.0008416
18,392.729,0.66842,0.71322,1.0419,0.89319,0.80137,0.87385,0.70697,0.75443,0.86173,1.23318,0.0008317,0.0008317,0.0008317
19,414.11,0.65412,0.70121,1.02605,0.92635,0.78082,0.8663,0.67845,0.78663,0.92585,1.26477,0.0008218,0.0008218,0.0008218
20,435.349,0.6531,0.69176,1.02964,0.86527,0.82192,0.87498,0.69005,0.74936,0.87437,1.21223,0.0008119,0.0008119,0.0008119
21,456.737,0.66346,0.6909,1.03495,0.9273,0.7863,0.87037,0.67519,0.78102,0.88441,1.26481,0.000802,0.000802,0.000802
22,478.096,0.6405,0.66939,1.02788,0.90007,0.78082,0.86058,0.67804,0.76967,0.87315,1.22679,0.0007921,0.0007921,0.0007921
23,499.376,0.63455,0.65563,1.02145,0.91209,0.78767,0.86977,0.67472,0.76321,0.89143,1.24603,0.0007822,0.0007822,0.0007822
24,520.774,0.64312,0.67077,1.02018,0.87276,0.79452,0.86595,0.67861,0.74796,0.88018,1.22615,0.0007723,0.0007723,0.0007723
25,542.066,0.63893,0.65703,1.01896,0.88029,0.82877,0.86612,0.67814,0.7476,0.90491,1.21521,0.0007624,0.0007624,0.0007624
26,563.406,0.62844,0.64544,1.01389,0.88771,0.79452,0.8632,0.6816,0.74116,0.8669,1.20851,0.0007525,0.0007525,0.0007525
27,584.806,0.62771,0.63761,1.01166,0.86825,0.82192,0.86564,0.6774,0.75678,0.8665,1.2464,0.0007426,0.0007426,0.0007426
28,606.198,0.61712,0.6255,1.01468,0.88668,0.80394,0.86675,0.67457,0.76226,0.86367,1.24106,0.0007327,0.0007327,0.0007327
29,627.434,0.62444,0.63419,1.00886,0.85212,0.80822,0.8624,0.68541,0.75217,0.8754,1.23201,0.0007228,0.0007228,0.0007228
30,648.79,0.61634,0.62561,1.01687,0.86847,0.79452,0.85202,0.68096,0.76959,0.86376,1.24243,0.0007129,0.0007129,0.0007129
31,670.06,0.61249,0.61891,1.00633,0.87898,0.79599,0.87417,0.69121,0.76873,0.80904,1.24642,0.000703,0.000703,0.000703
32,691.474,0.59398,0.60919,1.00135,0.89729,0.78082,0.87266,0.66869,0.80109,0.88556,1.26942,0.0006931,0.0006931,0.0006931
33,712.942,0.60462,0.61574,1.0052,0.84379,0.84247,0.86811,0.66032,0.80191,0.88075,1.27409,0.0006832,0.0006832,0.0006832
34,734.132,0.59851,0.61187,1.00102,0.85052,0.82877,0.87331,0.67465,0.80733,0.81757,1.29073,0.0006733,0.0006733,0.0006733
35,755.503,0.58809,0.59812,0.99651,0.83491,0.82192,0.85816,0.6776,0.78546,0.85303,1.26991,0.0006634,0.0006634,0.0006634
36,776.931,0.59,0.58528,0.9971,0.86597,0.79657,0.87603,0.69075,0.75164,0.82248,1.24596,0.0006535,0.0006535,0.0006535
37,798.302,0.58069,0.5833,0.99512,0.84353,0.82877,0.85939,0.68929,0.75194,0.8579,1.22463,0.0006436,0.0006436,0.0006436
38,819.705,0.58178,0.58998,0.99665,0.89448,0.78082,0.85709,0.66995,0.78378,0.82052,1.27734,0.0006337,0.0006337,0.0006337
39,841.099,0.58125,0.5758,0.9888,0.86918,0.82192,0.86123,0.68023,0.74198,0.84626,1.23777,0.0006238,0.0006238,0.0006238
40,862.324,0.58547,0.57524,0.99033,0.88858,0.8194,0.86421,0.68259,0.76556,0.83356,1.25148,0.0006139,0.0006139,0.0006139
41,883.627,0.56812,0.56923,0.98748,0.92695,0.78226,0.87259,0.68723,0.75736,0.82225,1.23617,0.000604,0.000604,0.000604
42,904.988,0.5722,0.57025,0.98943,0.89008,0.78082,0.86288,0.68751,0.74641,0.81592,1.2457,0.0005941,0.0005941,0.0005941
43,926.238,0.56876,0.56088,0.9929,0.83908,0.81507,0.86539,0.69416,0.77807,0.8051,1.26508,0.0005842,0.0005842,0.0005842
44,947.608,0.56574,0.56083,0.99183,0.85038,0.80137,0.86966,0.69001,0.79218,0.80803,1.28023,0.0005743,0.0005743,0.0005743
45,969.126,0.55,0.54915,0.98352,0.86489,0.78767,0.8659,0.6878,0.73844,0.81643,1.22683,0.0005644,0.0005644,0.0005644
46,990.344,0.55756,0.55752,0.98526,0.91013,0.763,0.87366,0.70149,0.76666,0.77826,1.24673,0.0005545,0.0005545,0.0005545
47,1011.87,0.5549,0.5482,0.98725,0.89935,0.79563,0.87562,0.69349,0.74456,0.80499,1.21046,0.0005446,0.0005446,0.0005446
48,1033.15,0.55894,0.54705,0.98265,0.86662,0.84554,0.87947,0.68485,0.76715,0.82148,1.25522,0.0005347,0.0005347,0.0005347
49,1054.39,0.5492,0.54667,0.98315,0.88339,0.80137,0.87527,0.69778,0.74424,0.78269,1.22094,0.0005248,0.0005248,0.0005248
50,1076.12,0.55674,0.54216,0.98241,0.86379,0.82192,0.87158,0.70157,0.75652,0.80903,1.21212,0.0005149,0.0005149,0.0005149
51,1097.54,0.54315,0.53529,0.97815,0.89032,0.80137,0.86681,0.69586,0.75613,0.82595,1.22833,0.000505,0.000505,0.000505
52,1118.93,0.5511,0.53948,0.97938,0.8702,0.82654,0.86853,0.68217,0.7873,0.80396,1.27372,0.0004951,0.0004951,0.0004951
53,1140.68,0.54699,0.5416,0.97783,0.88721,0.81507,0.85881,0.6827,0.77503,0.81087,1.24252,0.0004852,0.0004852,0.0004852
